terminal,number_docks,map_label,location,latitude,longitude,zip,city,neighborhood,cped_sector,council_ward,loc_just,coordinates
30179,23,Portland Ave & 4th Street S,Portland Ave & 4th Street S,44.976134,-93.261632,55401,Minneapolis,Downtown East,Minn-Downtown,3,Minneapolis,"(44.976134000000002, -93.261631999999992)"
30180,19,N 3rd Street & 8th Ave N,801 N 3rd St,44.987996,-93.279854,55401,Minneapolis,North Loop,Minn-Downtown,3,Minneapolis,"(44.987996000000003, -93.279854)"
30181,19,5th Ave N & 4th Street N,372 N 5th Ave,44.98446,-93.277234,55401,Minneapolis,North Loop,Minn-Downtown,3,Minneapolis,"(44.984459999999999, -93.277233999999993)"
30182,23,Sanford Hall,1122 University Ave SE,44.980831,-93.240282,55414,Minneapolis,University of MN,Minn-East,3,Minneapolis,"(44.980831000000002, -93.240281999999993)"
30183,19,Weisman Art Museum,221 Washington Ave SE,44.973607,-93.237254,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.973607000000001, -93.237254000000007)"
30184,23,Hennepin Ave & S Washington Ave,233 Hennepin Ave,44.981895,-93.269195,55401,Minneapolis,Central,Minn-Downtown,7,Minneapolis,"(44.981895000000002, -93.269194999999996)"
30185,15,5th Street NE & 3rd Ave NE,230 5th Street NE,44.991821,-93.255558,55413,Minneapolis,St. Anthony West,Minn-East,3,Minneapolis,"(44.991821000000002, -93.255557999999994)"
30186,19,5th Street S & Nicollet Mall,41 5th Street S,44.9786652,-93.2705033,55403,Minneapolis,Central,Minn-Downtown,7,Minneapolis,"(44.978665200000002, -93.270503299999987)"
30187,19,Groveland Ave & Clifton Place,451 Groveland Ave,44.966145,-93.286294,55403,Minneapolis,Loring Park,Minn-Downtown,7,Minneapolis,"(44.966145000000004, -93.286293999999998)"
30188,19,8th Street S & 2nd Ave S,121 S 8th Street,44.974795,-93.270649,55402,Minneapolis,Central,Minn-Downtown,7,Minneapolis,"(44.974795, -93.270649000000006)"
30189,19,Delaware Street SE & 26th Ave SE,2529 Delaware St SE,44.972128,-93.221021,55414,Minneapolis,Prospect Park/East River Road,Minn-East,2,Minneapolis,"(44.972128000000005, -93.221020999999993)"
30190,15,7th Street SE & 10th Ave SE,"700 10th Ave SE,",44.985576,-93.238743,55414,Minneapolis,Marcy-Holmes,Minn-East,2,Minneapolis,"(44.985576000000002, -93.238742999999999)"
30191,15,University Ave SE & Bedford Street SE,3326 University Ave SE,44.96876,-93.21003,55414,Minneapolis,Prospect Park/East River Road,Minn-East,2,Minneapolis,"(44.968759999999996, -93.210030000000003)"
30192,15,Cooke Hall,1900 University Ave SE,44.976303,-93.230029,55414,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.976303000000001, -93.230029000000002)"
30193,25,Mariucci Arena,37 SE Oak Street,44.977899,-93.226629,55414,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.977899000000001, -93.226629000000003)"
30194,23,23rd Ave SE & University Ave SE,2315 University Ave SE,44.974397,-93.223002,55414,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.974396999999996, -93.223002000000008)"
30195,23,Willey Hall,225 19th Avenue S,44.972404,-93.242891,55414,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.972403999999997, -93.242891)"
30196,23,Civil Engineering,500 Pillsbury Dr SE,44.976096,-93.231958,55414,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.976096000000005, -93.231957999999992)"
30197,23,15th Ave SE & 4th Street SE,319 15th Avenue Se,44.979876,-93.234739,55414,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.979876000000004, -93.234739000000005)"
30198,15,Bohemian Flats,2150 W River Pkwy,44.976223,-93.2416,55414,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.976222999999997, -93.241600000000005)"
